time,position,color
0.5,Q,0xFF03FEB7
1,W,0xFFFF63FF
1.5,E,0xFF03FEB7
2,A,0xFFFF63FF
2.5,S,0xFF03FEB7
3,D,0xFFFF63FF
3.5,Z,0xFF03FEB7
4,X,0xFFFF63FF
4.5,C,0xFF03FEB7
5,E,0xFFFF63FF
5.5,W,0xFF03FEB7
6,Q,0xFFFF63FF
6.5,D,0xFF03FEB7
7,S,0xFFFF63FF
7.5,A,0xFF03FEB7
8,C,0xFFFF63FF
8.5,X,0xFF03FEB7
9,Z,0xFFFF63FF
9.5,Q,0xFF03FEB7
10,C,0xFFFF63FF
10.5,E,0xFF03FEB7
11,Z,0xFFFF63FF
11.5,A,0xFF03FEB7
12,D,0xFFFF63FF
12.5,Z,0xFF03FEB7
13,X,0xFFFF63FF
13.5,E,0xFF03FEB7
14,W,0xFFFF63FF
14.5,Q,0xFF03FEB7
15,A,0xFFFF63FF
15.5,Z,0xFF03FEB7
16,X,0xFFFF63FF
16.5,A,0xFF03FEB7
17,Q,0xFFFF63FF
17.5,W,0xFF03FEB7
18,E,0xFFFF63FF
18.5,D,0xFF03FEB7
19,C,0xFFFF63FF
19.5,Z,0xFF03FEB7
20,X,0xFFFF63FF
20.5,C,0xFF03FEB7
21,D,0xFFFF63FF
21.5,E,0xFF03FEB7
22,A,0xFFFF63FF
22.5,S,0xFF03FEB7
23,D,0xFFFF63FF
23.5,E,0xFF03FEB7
24,D,0xFFFF63FF
24.5,E,0xFF03FEB7
25,W,0xFFFF63FF
25.5,Q,0xFF03FEB7
26,C,0xFFFF63FF
26.5,D,0xFF03FEB7
27,Q,0xFFFF63FF
27.5,W,0xFF03FEB7
28,E,0xFFFF63FF
28.5,A,0xFF03FEB7
29,S,0xFFFF63FF
29.5,D,0xFF03FEB7
30,Z,0xFFFF63FF
30.5,X,0xFF03FEB7
31,C,0xFFFF63FF
31.5,E,0xFF03FEB7
32,W,0xFFFF63FF
32.5,Q,0xFF03FEB7
33,D,0xFFFF63FF
33.5,S,0xFF03FEB7
34,A,0xFFFF63FF
34.5,C,0xFF03FEB7
35,X,0xFFFF63FF
35.5,Z,0xFF03FEB7
36,Q,0xFFFF63FF
36.5,C,0xFF03FEB7
37,E,0xFFFF63FF
37.5,Z,0xFF03FEB7
38,A,0xFFFF63FF
38.5,D,0xFF03FEB7
39,Z,0xFFFF63FF
39.5,X,0xFF03FEB7
40,E,0xFFFF63FF
40.5,W,0xFF03FEB7
41,Q,0xFFFF63FF
41.5,A,0xFF03FEB7
42,Z,0xFFFF63FF
42.5,X,0xFF03FEB7
43,A,0xFFFF63FF
43.5,Q,0xFF03FEB7
44,W,0xFFFF63FF
44.5,Q,0xFF03FEB7
45,W,0xFFFF63FF
45.5,E,0xFF03FEB7
46,A,0xFFFF63FF
46.5,S,0xFF03FEB7
47,D,0xFFFF63FF
47.5,Z,0xFF03FEB7
48,X,0xFFFF63FF
48.5,C,0xFF03FEB7
49,E,0xFFFF63FF
49.5,W,0xFF03FEB7
50,Q,0xFFFF63FF
50.5,D,0xFF03FEB7
51,S,0xFFFF63FF
51.5,A,0xFF03FEB7
52,C,0xFFFF63FF
52.5,X,0xFF03FEB7
53,Z,0xFFFF63FF
53.5,Q,0xFF03FEB7
54,C,0xFFFF63FF
54.5,E,0xFF03FEB7
55,Z,0xFFFF63FF
55.5,A,0xFF03FEB7
56,D,0xFFFF63FF
56.5,Z,0xFF03FEB7
57,X,0xFFFF63FF
57.5,E,0xFF03FEB7
58,W,0xFFFF63FF
58.5,Q,0xFF03FEB7
59,A,0xFFFF63FF
59.5,Z,0xFF03FEB7
60,X,0xFFFF63FF
60.5,A,0xFF03FEB7
61,Q,0xFFFF63FF
61.5,W,0xFF03FEB7
62,E,0xFFFF63FF
62.5,D,0xFF03FEB7
63,C,0xFFFF63FF
63.5,Z,0xFF03FEB7
64,X,0xFFFF63FF
64.5,C,0xFF03FEB7
65,D,0xFFFF63FF
65.5,E,0xFF03FEB7
66,A,0xFFFF63FF
66.5,S,0xFF03FEB7
67,D,0xFFFF63FF
67.5,E,0xFF03FEB7
68,D,0xFFFF63FF
68.5,E,0xFF03FEB7
69,W,0xFFFF63FF
69.5,Q,0xFF03FEB7
70,C,0xFFFF63FF
70.5,D,0xFF03FEB7
71,Q,0xFFFF63FF
71.5,W,0xFF03FEB7
72,E,0xFFFF63FF
72.5,A,0xFF03FEB7
73,S,0xFFFF63FF
73.5,D,0xFF03FEB7
74,Z,0xFFFF63FF
74.5,X,0xFF03FEB7
75,C,0xFFFF63FF
75.5,E,0xFF03FEB7
76,Q,0xFFFF63FF
76.5,W,0xFF03FEB7
77,E,0xFFFF63FF
77.5,A,0xFF03FEB7
78,S,0xFFFF63FF
78.5,D,0xFF03FEB7
79,Z,0xFFFF63FF
79.5,X,0xFF03FEB7
80,C,0xFFFF63FF
80.5,E,0xFF03FEB7
